generador-1  | Hit rate: 45.11% (83/184)
generador-1  | [CACHÉ HIT] Lo Prado → 5 eventos (3 ms)
generador-1  | Hit rate: 45.41% (84/185)
generador-1  | [CACHÉ MISS] Salindres → 2 eventos desde MongoDB (45 ms)
generador-1  | Hit rate: 45.16% (84/186)
generador-1  | [CACHÉ MISS] Renca → 1 eventos desde MongoDB (52 ms)
generador-1  | Hit rate: 44.92% (84/187)
generador-1  | [CACHÉ MISS] Independencia → 5 eventos desde MongoDB (3 ms)
generador-1  | Hit rate: 44.68% (84/188)
generador-1  | [CACHÉ HIT] Salindres → 2 eventos (5 ms)
generador-1  | Hit rate: 44.97% (85/189)
generador-1  | [CACHÉ HIT] Salindres → 2 eventos (2 ms)
generador-1  | Hit rate: 45.26% (86/190)
generador-1  | [CACHÉ MISS] Quinta Normal → 5 eventos desde MongoDB (4 ms)
generador-1  | Hit rate: 45.03% (86/191)
generador-1  | [CACHÉ HIT] Salindres → 2 eventos (2 ms)
generador-1  | Hit rate: 45.31% (87/192)
generador-1  | [CACHÉ MISS] Estación Central → 5 eventos desde MongoDB (3 ms)
generador-1  | Hit rate: 45.08% (87/193)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (2 ms)
generador-1  | Hit rate: 45.36% (88/194)
generador-1  | [CACHÉ HIT] Quinta Normal → 5 eventos (2 ms)
generador-1  | Hit rate: 45.64% (89/195)
generador-1  | [CACHÉ HIT] Estación Central → 5 eventos (2 ms)
generador-1  | Hit rate: 45.92% (90/196)
generador-1  | [CACHÉ MISS] Santiago → 5 eventos desde MongoDB (8 ms)
generador-1  | Hit rate: 45.69% (90/197)
generador-1  | [CACHÉ HIT] Quinta Normal → 5 eventos (2 ms)
generador-1  | Hit rate: 45.96% (91/198)
generador-1  | [CACHÉ MISS] Recoleta → 5 eventos desde MongoDB (4 ms)
generador-1  | Hit rate: 45.73% (91/199)
generador-1  | [CACHÉ HIT] Recoleta → 5 eventos (4 ms)
generador-1  | Hit rate: 46.00% (92/200)
