comuna,tipo,fecha,descripcion
Santiago,Peligro,2025-04-20T15:39:05.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T05:03:46.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:39:54.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-19T12:09:53.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T15:36:37.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T19:14:53.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-04-20T07:58:55.000Z,"Av. Libertador Bernardo O'Higgins"
Lo Prado,Otro,2025-06-29T22:26:42.807Z,"Necochea"
Estación Central,Otro,2025-06-29T22:26:42.807Z,"Av. Padre Alberto Hurtado"
Santiago,Otro,2025-06-29T22:26:42.807Z,"Huérfanos"
Quinta Normal,Otro,2025-06-29T22:26:42.807Z,"Coronel Robles"
Providencia,Otro,2025-06-29T22:26:42.807Z,"General Bustamante"
Santiago,Peligro,2025-04-20T15:45:34.000Z,"Av. Libertador Bernardo O'Higgins"
Santiago,Peligro,2025-06-29T22:26:42.807Z,"Av. Santa María"
Santiago,Peligro,2025-04-20T05:13:05.000Z,"Av. Libertador Bernardo O'Higgins"
